team,matches_played,wins,draws,losses,goal_difference,points,source,date_collected
Spain,2,1,1,0,4,4,fifa.com,21/06/2026
France,1,1,0,0,2,3,fifa.com,21/06/2026
England,1,1,0,0,2,3,fifa.com,21/06/2026
Brazil,2,1,1,0,3,4,fifa.com,21/06/2026
Portugal,1,0,0,0,0,1,fifa.com,21/06/2026
Argentina,1,1,0,0,3,3,fifa.com,21/06/2026
Germany,2,2,0,0,7,6,fifa.com,21/06/2026
Netherlands,2,1,1,0,4,4,fifa.com,21/06/2026
Belgium,2,0,2,0,0,2,fifa.com,21/06/2026
Norway,1,1,0,0,3,3,fifa.com,21/06/2026
Colombia,1,1,0,0,2,3,fifa.com,21/06/2026
Japan,2,1,1,0,4,4,fifa.com,21/06/2026
Morocco,2,1,1,0,1,4,fifa.com,21/06/2026
USA,2,2,0,0,5,6,fifa.com,21/06/2026
Uruguay,2,0,2,0,0,2,fifa.com,21/06/2026
Mexico,2,2,0,0,3,6,fifa.com,21/06/2026
Switzerland,2,1,1,0,3,4,fifa.com,21/06/2026
Croatia,1,0,0,1,-2,0,fifa.com,21/06/2026
Turkiye,2,0,0,2,-3,0,fifa.com,21/06/2026
Ecuador,2,0,1,1,-1,1,fifa.com,21/06/2026
Senegal,1,0,0,1,-2,0,fifa.com,21/06/2026
Austria,1,1,0,0,2,3,fifa.com,21/06/2026
Canada,2,1,1,0,6,4,fifa.com,21/06/2026
Sweden,2,1,0,1,0,3,fifa.com,21/06/2026
Ivory Coast,2,1,0,1,0,3,fifa.com,21/06/2026
Paraguay,2,1,0,1,-2,3,fifa.com,21/06/2026
Egypt,1,0,1,0,0,1,fifa.com,21/06/2026
